Brand name	Markenname
3 comfort zones relieve pressure on your shoulders and hips.	3 Komfortzonen mindern den Auflagedruck an Schultern und Hüfte.
You can fit a computer in the cabinet, since you can remove the adjustable shelf.	Der versetzbare Boden kann herausgenommen werden - so entsteht Platz für einen Computer.
Sliding doors don't take up any space when opened and are therefore practical for smaller spaces.	Schiebetüren erfordern beim Öffnen weniger Platz als normale Türen; praktisch auf kleinem Raum.
Designed for storage of paper (A4 size and American letter size 22x28 cm).	Für Papier (A4-Format und amerik. Briefformat 22x28 cm) geeignet.
Designed for storage of paper (A3 size).	Für Papier (A3-Format) geeignet.
Designed for storage of paper (A5 size).	Für Papier (A5-Format) geeignet.
Plastic is a durable material which is simple to wipe clean.	Kunststoff ist robust, leicht abzuwischen und sauber zu halten.
On-off switch, which also works as a switch for rotation to the right/left.	Der Ein-/Aus-Schalter dient auch zum Umschalten der Drehrichtung.
The screwdriver has a practical work lamp.	Mit praktischem Arbeitslicht.
Cordless screwdriver with bit holder.	Akkuschrauber mit festem Bitsatzhalter.
Cordless screwdriver with chuck that also can be used for pre-drilling.	Akkuschrauber mit Bohrfutter. Auch zum Vorbohren geeignet.
Hard storage case with handle protects the screwdriver and makes it easy to carry with you.	Der Hartschalenbehälter mit Griff schützt den Akkuschrauber und erleichtert den Transport.
Battery indicator displays the battery status.	Mit Batteriestatusanzeige.
With low/high speed.	Mit niedriger/hoher Drehzahl.
You can also use the hammer as a rubber mallet, since separate rubber casing is included.	Der Hammer lässt sich mit dem beigepackten Aufsatz auch als Gummihammer verwenden.
Suitable if you sleep on your stomach since the low down pillow makes the neck less bent and reduces strain on your muscles.	Ein flaches Daunenkissen für Bauchschläfer; der Nacken wird weniger gebeugt, die Muskelspannung verringert sich.
Suitable if you sleep on your stomach since the low feather pillow makes the neck less bent and reduces strain on your muscles.	Ein niedriges Federkopfkissen für Bauchschläfer. Der Nacken wird weniger gebeugt, die Muskelspannung verringert sich.
Generous seat depth and soft back cushions provide plenty of room for you to sit and relax comfortably.	Großzügige Sitztiefe, weiche Rückenpolster: viel Platz, um bequem und entspannt zu sitzen.
Lid with a gas spring; stays open so you can take things out safely and easily.	Deckel mit Gasfeder; bleibt offen und erleichtert so das Herausnehmen und Hineinlegen von Dingen.
Close by pressing on the lid; the gas spring makes the lid close silently and safely.	Deckel einfach herunterdrücken: Ein spezieller Mechanismus sorgt für leises und sicheres Schließen.
Filling with a large portion of feathers adds resilience and transports moisture away.	Füllung mit hohem Federanteil sorgt für Elastizität und transportiert Feuchtigkeit ab.
The various sections of the seating series can be connected together in different combinations or used separately.	Die verschiedenen Elemente der Polstermöbelserie lassen sich miteinander verbinden oder einzeln nutzen.
Seat surfaces and armrests in soft, hard-wearing, easy-care grain leather.	Sitzflächen und Armlehnen mit weichem, robustem und pflegeleichtem Narbenleder
A seating series with a low, deep and comfortable seat - lumbar cushions give soft support for your back.	Eine Polstermöbelserie mit niedriger, tiefer und bequemer Sitzfläche - Kissen stützen weich den Rücken.
Choose whether you want to mount it flat or tilted.	Kann je nach Bedarf gerade oder schräg montiert werden.
A mix of thick and thin yarn adds life and texture.	Eine Mischung aus feinem und starkem Garn sorgt für eine interessante Oberfläche.
Polyester threads in the pile add a special shine to the rug.	Der Teppich bekommt seinen besonderen Glanz durch Polyester im Flor.
Easy to transport and store since the packaging also functions as a storage bag.	Einfach zu transportieren und unterzubringen, da die Verpackung gleichzeitig Schutzhülle bei der Aufbewahrung ist.
With a corner shelf, you use the room's surface area to the maximum.	Mit einem Eckregal wird der Platz im Raum optimal genutzt.
You can make use of the room's maximum surface by hanging a corner shelf unit/height extension on the wall or by placing it on the floor.	Ob an die Wand gehängt oder auf den Boden gestellt - ein Eck-/Aufsatzregal nutzt vorhandenen Raum optimal.
The shelves can be placed to the left or right; choose the placement that suits you best.	Anordnung des Regals nach Wunsch und Bedarf rechts oder links.
For a longer rail, connect two FINTORP rails together using only one bracket.	Mit einem Wandhalter lassen sich zwei FINTORP Stangen zu einer längeren kombinieren.
The smaller basket is perfect for small napkins.	Der kleine Korb eignet sich gut für Servietten und Ähnliches.
Can be used as a shelf for spices, herbs or oil and vinegar or as a dish drainer if the tray in the bottom is taken away.	Für Gewürze, Kräuterpflanzen, Essig-/Ölbehälter oder ohne die Bodenplatte auch als Abtropfgestell geeignet.
The top of the trolley is reversible and can be used as a tray.	Die wendbare obere Platte kann als Tablett benutzt werden.
Removable tray underneath; collects water from the drainer.	Abnehmbares Tablett für Abtropfwasser.
A smaller extra bowl makes it possible for example to discard leftover beverages, while using the larger bowl for washing and rinsing dishes.	Durch den kleinen Ablauf (z.B. zum Ausgießen von Getränkeresten) kann das große Becken zum Abwaschen oder -spülen genutzt werden.
Up to three inserts can be placed on top of one other; makes it possible to steam large quantities of food in the same pot.	Bis zu drei Einsätze können gestapelt werden; so lassen sich größere Mengen in einem Topf garen.
You can choose between two machine washable covers, which makes it easy to change and renew both the bed and the bedroom.	Zwei maschinenwaschbare Bezüge stehen zur Wahl, so lassen sich Bett und Schlafraum immer wieder anders gestalten.
Gives a nice decorative light.	Erzeugt ein freundlich-dekoratives Licht.
Easy to cut the cord to desired length.	Die Schnur lässt sich leicht auf das passende Maß kürzen.
You can hang 1 big or 2 small pictures on the 2 hooks which are included.	Mit 2 Haken zum Aufhängen von einem großen oder 2 kleineren Bildern.
Can be hung on FINTORP rail using FINTORP hooks, or kept freestanding on the table or windowsill.	Passt auf Tisch oder Fensterbank und lässt sich mit den FINTORP Haken an die FINTORP Stange hängen.
Helps free up space on your worktop while keeping cooking utensils close at hand.	Hält Küchenutensilien griffbereit und sorgt für mehr Platz auf der Arbeitsfläche.
Holes in the bottom for draining.	Öffnungen im Boden zum Abtropfen.
Include the children in the kitchen activities by letting them decorate your kitchen with MARHULT decoration stickers.	Lass deine Kinder an den Aktivitäten in der Küche teilhaben, indem du sie sie mit MARHULT selbstklebender Deko verzieren lässt.
You can easily direct the light where you want it because the spots are adjustable.	Verstellbare Spots sorgen für einfaches Einstellen des Lichtwinkels ganz nach Wunsch und Bedarf.
Each bowl has been mouthblown by a skilled craftsman.	Mundgeblasene Schale, geschaffen von talentierten Kunsthandwerkern.
Slim and lightweight: easy to place in small spaces and move to wherever you need light.	Handlich und leicht; passt auch in schmale Ecken, lässt sich leicht dort einsetzen, wo gerade Licht benötigt wird.
Can be hung on FINTORP rail using FINTORP hooks, or kept freestanding on the table.	Passt auf den Tisch und lässt sich mit den FINTORP Haken an die FINTORP Stange hängen.
You get an easy overview of the contents since the wall cabinet is shallow.	Die geringe Tiefe ermöglicht schnellen Überblick über den gesamten Schrankinhalt.
You can empty the sink without putting your hand in the water, because you can drain the sink with the knob.	Die Spüle lässt sich durch Öffnen des Ablaufs per Drehknopf leeren, ohne mit der Hand ins Wasser greifen zu müssen.
Can be used as decoration in a bowl or on a table, for example.	Kann als Dekoration z. B. in einer Schale oder auf dem Tisch verwendet werden.
Extinguish the candle by putting on the lid, which closes the scent in too.	Zum Löschen der Kerze einfach den Deckel auflegen; so bleibt der Duft länger erhalten.
Keeping the lid on when the candle is unlit preserves the scent longer.	Bei geschlossenem Deckel bleibt der Duft länger erhalten.
You can connect several suspension rails and make it as long as you want.	Bilderschienen können endlos verbunden werden - für Bildwände in gewünschter Länge. Schnüre und Haken sind auch separat erhältlich.
Self-closing hinges automatically close the door the last part of the way, so the wardrobe is never left open.	Dank spezieller Scharniere schließen sich die Türen auf den letzten Zentimetern selbsttätig. Kein halboffener Kleiderschrank mehr.
Adjustable shelves and clothes rail make it easy for you to customise the space according to your needs.	Versetzbare Böden und Kleiderstange für bedarfsangepasste Aufbewahrung.
The lid can be used for storing food in the fridge and to heat food in the microwave or oven.	Die Deckel sind für Vorräte im Kühlschrank oder zum Aufwärmen von Essen in Backofen und Mikrowelle geeignet.
You can use the 8 tealight holders separately or put the clear glass holders on top of the coloured ones for a different look.	Die 8 Halter können einzeln eingesetzt werden oder man stellt zur Abwechslung die Glasleuchter auf die farbigen Teelichthalter.
One side of the coloured tealight holders is for small tealights and the other side is for large ones.	In eine Seite der farbigen Halter passen große Teelichter, in die andere Seite kleine.
The shiny metal reflects and enhances the warm light from the candle-flame.	Das glänzende Metall reflektiert und verstärkt den warmen Schein der Kerzenflamme.
One side of the candle holder is for small tealights and the other side is for large ones.	In eine Seite des Halters passen große Teelichter, in die andere Seite kleine.
Made of the finest quality bone china which means the plate is very thin and delicate, while being extremely resistant to impact and very durable.	Feinporzellan, Material von besonders hoher Qualität - fast durchscheinend-zart und doch robust und haltbar.
Mattress with memory foam and high resilience foam relieves pressure on your body and helps blood circulation, enabling your body to relax.	Matratze mit Memoryschaum und hochelastischem Schaum entlastet den Körper, unterstützt die Blutzirkulation in Haut und Muskeln und sorgt so für tiefgehende Entspannung.
Can be used as a table lamp, so you have two lights in one.	Auch als Tischleuchte geeignet.
6 slats with adjustable firmness.	Die 6 verstellbaren Federhölzer ermöglichen die individuelle Einstellung der Festigkeit.
Adjustable head and foot sections.	Kopf- und Fußteil jeweils verstellbar.
The combination of slats and discs adjust to your body and give it support.	Die Kombination aus Federhölzern und Scheiben sorgt durch die individuelle Körperanpassung für optimalen Schlafkomfort.
Each disc moves independently, which gives very precise support.	Die Scheiben reagieren unabhängig voneinander und sorgen so für sehr gute Flexibilität.
Motif created by Elle D.	Motiv von Elle D.
The durable, soil-resistant wool surface makes this rug perfect for high traffic areas like hallways in your home.	Mit seinem strapazierfähigen, schmutzabweisenden Wollflor gut geeignet für stark frequentierte Räume wie Flur oder Eingangsbereich.
The plant pot makes a good room divider if you fill it with taller plants.	Mit höheren Gewächsen bepflanzt wird der Übertopf zum grünen Raumteiler.
The glass vase is mouth blown by a skilled craftsperson.	Mundgeblasen; jedes Exemplar wurde von einem talentierten Kunsthandwerker gefertigt.
When you're not using the bowls you can open them out into thin sheets that take no room in your cabinets.	Die Schalen lassen sich nach Gebrauch flach zusammenfalten.
The plastic sheet is matt on one side and glossy on the other, and you can choose which side to use as the inside/outside of your bowl.	Eine matte und eine glänzende Seite zum Variieren.
With a large picture you can create mood and atmosphere in a whole room.	Mit einem großen Bild lässt sich Stil und Stimmung im kompletten Raum verändern.
The picture has extra depth and life, because it's printed on high quality canvas.	Das Motiv gewinnt durch den Druck auf hochwertige Leinwand an Tiefe und Lebendigkeit.
The plastic sheets are easy to fold into 3 bowls in different sizes.	Die Kunststoffbögen lassen sich ganz einfach zu 3 Schalen in verschiedenen Größen zusammenfalten.
The pattern looks like a textile but is woven with black and white paper.	Das Muster wirkt wie Textilgewebe, besteht aber aus schwarzen und weißen Papierstreifen.
The picture stands out from the wall in an attractive way, because it continues around the edges of the canvas.	Das Motiv wird um die Rahmenkante geführt - so bekommt das Bild mehr Tiefe und wirkt besonders effektvoll.
Air circulates effectively around your computer or other electronic equipment because of an opening in the back panel.	Öffnung in der Rückwand, damit Rechner und andere elektronische Geräte gut belüftet werden.
The small compartment in the top drawer can be used for practical storage of pens and other small objects.	Das kleine Fach in der obersten Schublade ist praktisch für Stifte und andere kleine Dinge.
The shelves can be tilted, providing practical storage for papers and documents.	Die Böden können schräg eingelegt werden; praktisch für übersichtliches Ordnen von Papieren und Dokumenten.
You can use the lantern either for a household candle or a block candle, depending on how you turn the patterned base.	Je nach Lage des gemusterten Teils für Block- oder Haushaltskerzen geeignet.
The picture can be hung either horizontally or vertically.	Kann senkrecht oder waagrecht aufgehängt werden.
No assembly required.	Montage nicht erforderlich.
Small, neat dimensions make the table easy to furnish with, even when space is limited.	Tisch mit schmalem, klarem Zuschnitt für leichtes Möblieren auch bei wenig Platz.
Table top made of the very strong material bamboo.	Tischplatte aus sehr robustem Bambusmaterial.
It is easy for one person alone to pull out the table so there is room for 2–4 people.	Der Tisch lässt sich leicht von einer Person vergrößern - nach Bedarf 2-4 Plätze.
The glass table top lets light through, which makes the table feel neat and blend in, even when space is limited.	Die lichtdurchlässige Glasplatte lässt den Tisch kleiner wirken; er verschmilzt quasi mit der Einrichtung; auch bei wenig Platz.
The table is easy for one person to pull out alone and adjust for 4-6 people, according to need.	Der Tisch lässt sich leicht von einer Person vergrößern - nach Bedarf 4-6 Plätze.
There is plenty of storage space on the deep shelf.	Viel Platz zum Unterbringen im tiefen Regalteil.
The hard plastic protects solid food like sandwiches, fruit and snacks so you can pack them down in your child’s school bag or backpack.	Aus robustem Hartkunststoff; Obst, Brote usw. bleiben geschützt, wenn der Behälter in Rucksack oder Schultasche verstaut wird.
The lid is easy for children to open and close by just turning the ears.	Auch für Kinder leicht zu öffen und zu schließen durch einfaches Drehen der Ohren.
The gazebo is easy to assemble and take apart because the poles just snap together.	Durch die Klickverbindung des Gestänges lässt sich der Pavillon einfach montieren und demontieren.
Easy to fold up and store in the included bag.	Lässt sich einfach falten und in der mitgelieferten Hülle verstauen.
The floor decking is weather-resistant and easy to care for since it’s made of plastic.	Die Bodenroste sind dank des Kunststoffmaterials wetterfest und leicht zu pflegen.
The floor decking can be cut if you need to fit it around a corner or a pole.	Die Bodenroste lassen sich zuschneiden und können dann auch um Ecken, Pfeiler und andere bauliche Strukturen gelegt werden.
You can easily take the floor decking apart and put it together again if you want to clean the floor underneath.	Die Bodenroste lassen sich - z. B. zum Reinigen des Untergrunds - einfach voneinander trennen und wieder zusammensetzen.
The chair pad stays firmly in place on the seat because it has anti-slip dots on the underside.	Die Polster sind rutschfest durch Gleitschutzpunkte auf der Unterseite.
You can use this beanbag in different ways. Fold it into an upright easy chair, or unfold it into a low lounger.	Vielseitig benutzbarer Sitzsack - gefaltet ein gemütlicher Sessel, ausgebreitet ein bequemer Liegestuhl.
The hammock stand is easy to move since it has a wheel on one side. Just tilt the stand and roll it out of the way when you need to use your outdoor space for other activities.	Durch eine seitliche Rolle ist das Gestell leicht umzustellen - einfach anwinkeln und aus dem Weg rollen, wenn der Sitzplatz draußen anderweitig genutzt werden soll.
You can keep books, magazines or other things in the small pouch on the side of the hammock.	Bücher, Zeitschriften und andere kleine Dinge lassen sich griffbereit in der seitlichen Tasche unterbringen.
The heat-insulating handles stay cool even if the utensils are heated up, which means you don’t need to use oven gloves.	Mit isolierten Griffen, die kühl bleiben, auch wenn sich das Besteck erhitzt; so ist in diesem Fall das Benutzen von Grillhandschuhen nicht erforderlich.
The stainless steel utensils are easy to care for and do not rust.	Das Grillbesteck ist aus Edelstahl und daher rostfrei und pflegeleicht.
This chair is easy to pack and carry, since it is both lightweight and foldable.	Lässt sich leicht mitnehmen und nach Gebrauch Platz sparend flach zusammenfalten.
This sun lounger is easy to pack up and carry as it is lightweight and can be folded up.	Die Sonnenliege lässt sich leicht zusammenklappen und gut tragen, da sie wenig wiegt.
The wide flat bottom and anti-slip surface keep the plate and bowl in place and make it easier for children to eat from.	Teller und Schale mit breitem, flachem Boden und rutschfester Unterseite - so können Kinder einfach und sicher selbst essen, ohne dass etwas verrutscht.
Helps prevent messy spills and makes it easier for small children to eat by themselves. The high sides curve inwards to help keep the food inside the plate.	Erleichtert es Kleinkindern, ohne Kleckern selbst zu essen; hohe, nach innen gewölbte Kanten tragen dazu bei, dass nichts daneben geht.
Use the vase with flowers or alone, as a beautiful object in its own right.	Wirkungsvolle Dekoration - ob mit einem schönen Strauß oder einfach für sich als Objekt.
You can easily make a beautiful floral arrangement with just a single flower or a twig since the opening of the vase is small.	Durch die kleine Öffnung in der Vase lässt sich ein dekoratives Arrangement aus einer einzelnen Blume oder einem Zweig gestalten.
The vase is extra resistant to scratching and wear because it's made of coloured glass.	Durch das eingefärbte Glas ist die Vase weniger kratz- und stoßempfindlich.
You decide how you want your clock to look by combining the 28 pieces in your own personal way.	Das Aussehen der Uhr bestimmt man selbst durch entsprechendes Aneinandersetzen der 28 Teile nach persönlichem Geschmack.
If you want to change the look of your clock, all you have to do is combine the pieces in a new way.	Wer Abwechslung mag, setzt die Einzelteile öfter mal zu einer anderen Form zusammen.
Fill the bowl with fruit or decorations or use it alone, as a beautiful object in its own right.	Mit Blumen, Deko oder auch für sich sieht die Schale sehr dekorativ aus.
The bowl is extra resistant to scratching and wear because it's made of coloured glass.	Durch das eingefärbte Glas ist die Schale weniger kratz- und stoßempfindlich.
It's perfect to grill meat and brown vegetables by using the turbo grill setting.	Perfektes Grillen von Fleisch und Gratinieren von Gemüse mit der Turbogrillfunktion.
It's perfect to grill meat and brown vegetables by using the setting for turbo grill with fan.	Perfektes Grillen von Fleisch und Gratinieren von Gemüse dank Turbogrill mit Gebläse.
Top and bottom heating and fan ensure an even heat in the oven, which is good for baking.	Oberhitze, Unterhitze und Gebläse sorgen für gleichmäßige Hitzeverteilung im Backofen - ideal zum Backen.
Full electronic display with electronic thermostat shows real time oven temperature, recommended temperature settings for each function and low stand-by power consumption.	Elektronisches Anzeigefeld mit Thermostat, zeigt die aktuelle Ofentemperatur, empfohlene Temperatureinstellungen für jede Funktion; niedriger Energieverbrauch im Bereitschaftszustand.
The bread/pizza baking function gives your food a more intense brown outside and a crispy bottom.	Funktion zum Backen von Brot/Pizza für intensiv gebräunte Krusten und knusprige Böden.
Can be used freestanding or connected with other sections in the seating series; connection fittings are pre-mounted underneath.	Kann frei stehend oder verbunden mit anderen Elementen der Serie verwendet werden; Verbindungsbeschläge bereits unter den Elementen montiert.
Wall mount above or beside the bed to free floor space.	Wird über oder neben dem Bett montiert, um Bodenfläche zu sparen.
Possible to mount in any angle.	Einfach im gewünschten Winkel montieren.
The glass door allows you to see your things, while protecting them from dust.	Vitrinentüren sorgen für staubfreie Aufbewahrung von allem, was man gerne zeigt.
It is easier to sort waste properly if you place a picture in the plastic pocket on the side.	Einschub für Abbildung/Foto zur Markierung des Beutelinhalts erleichtert die Abfalltrennung.
Provides great support for climbing plants.	Optimaler Halt für Kletterpflanzen.
Helps you organise socks, belts and jewellery in your wardrobe or chest of drawers.	Erleichtert das Ordnen von Socken, Gürteln, Schmuck usw. in Kommoden und Schränken.
You can even keep the storage case under the bed – perfect for extra bedlinen, pillows or covers.	Die Tasche passt unter das Bett und eignet sich für Kissen, Decken usw.
You can look through the mesh to see what shoes are inside the box.	Durch das Netzgewebe ist der Inhalt deutlich sichtbar.
Allows children to be inspired in their own creative way.	Fördert die kindliche Kreativität.
Mix of patterned and solid-coloured paper.	Gemustertes und einfarbiges Papier.
Paper boxes in fun shapes can be painted or decorated for a more personal expression.	Die Kästen lassen sich individuell dekorieren, anmalen oder bekleben.
Paper frames that can be coloured or decorated for a more personal expression.	Die Rahmen lassen sich verzieren, anmalen oder bekleben.
Paper figures and shapes that can be coloured or decorated for a more personal expression.	Die Dekofiguren lassen sich individuell verzieren, anmalen oder bekleben.
You can squeeze any type of citrus fruit by changing the different inserts.	Mit den austauschbaren Einsätzen können alle Sorten von Zitrusfrüchten ausgepresst werden.
The tools have an easy to grip handle of soft synthetic rubber.	Das Werkzeug hat handgerechte Griffe aus synthetischem Gummi.
The included label holders with paper help you to organise and find your things.	Mit Etiketthalter und Papier für einfaches Markieren und schnelles Wiederfinden.
Rubber feet underneath protect the surface below from scratches and make the pen holder stand steady.	Noppen auf der Unterseite sorgen für Standfestigkeit und schützen die Unterlage vor Kratzern.
You can choose to install the door to the right or left, according to what fits the space best.	Die Tür kann wahlweise mit der Öffnung nach rechts oder links montiert werden.
Two boxes fit side by side in a 100 cm wide wardrobe frame.	Zwei Fächer passen nebeneinander in einen 100 cm breiten Korpus.
All three boxes fit side by side in a 100 cm wide wardrobe frame.	Alle drei Fächer passen nebeneinander in einen 100 cm breiten Korpus.
The concealed drawer runners ensure that drawers run smoothly even when heavily loaded.	In den verdeckten Schienen gleiten die Schubladen sanft, auch wenn sie schwerer belastet sind.
All four boxes fit side by side in a 100 cm wide wardrobe frame.	Alle vier Kartons passen nebeneinander in einen 100 cm breiten Korpus.
Small drawers make it easy to keep your things organised.	Kleine Schubladen erleichtern das Ordnen, Sortieren und Aufbewahren.
Easy to open and close the window as the shoe box has a hook and loop fastener.	Durch Klettband einfach zu öffnen und zu verschließen.
Large drawers for hidden, dust-free storage.	Mit großen Schubladen für verdeckte, staubfreie Aufbewahrung.
2 open compartments for a DVD-player, etc.	2 offene Fächer für DVD-Player usw.
Large drawers make it easy to keep your things organised.	Große Schubladen bieten viel Platz zum Verstauen, Ordnen und Unterbringen.
1 fixed shelf for high stability.	1 fester Boden für erhöhte Stabilität.
Open compartments for your DVD player, etc.	Offene Fächer für DVD-Player usw.
The easy-height picture hook has hooks at different levels, which makes it easy to adjust the height of a picture to match another without putting new holes in the wall or changing the wire length.	Spezialbilderhalter mit Haken in verschiedenen Höhen erleichtern das Ausrichten und Anordnen mehrerer Bilder am Aufhängeseil ohne zusätzliche Bohrlöcher.
You can hide multiple sockets under the removable bottom shelf, for instance.	Der untere Boden kann herausgenommen werden; darunter lassen sich z.B. Mehrfachsteckdosen verbergen.
The wooden rail in the open compartments hides cords and multiple sockets; can be removed to fit, e.g. larger DVD-players.	Die Holzleiste in den offenen Fächern verbirgt Kabel und Mehrfachsteckdosen; sie kann entfernt werden, damit z.B. größere Geräte Platz finden.
Has the same depth as FAKTUM wall cabinets; makes it easy to create a fully integrated look.	Gleiche Tiefe wie der FAKTUM Wandschrank; so entsteht ein durchgängiger Eindruck.
Hand-knotted by skilled craftspeople, and therefore unique.	Handgeknüpft von talentierten Kunsthandwerkern; jedes Produkt ist ein Unikat.
Handwoven by skilled craftspeople, and therefore unique.	Handgewebt von talentierten Kunsthandwerkern; jedes Produkt ist einmalig.
Tibetan knots make the rug extra strong and give it natural variations in structure.	Die tibetanische Knüpfung verstärkt den Teppich und verleiht ihm natürliche Strukturvarianten.
The dense, thick pile dampens sound and provides a soft surface to walk on.	Der dicke, dichte Flor ist kuschelig an den Füßen und wirkt gleichzeitig geräuschdämpfend.
The mirror door can be placed on the left side, right side or in the middle.	Die Spiegeltür kann rechts, links oder in der Mitte angebracht werden.
The drawer pulls out for easy access and overview.	Schublade erlaubt schnellen Zugriff und gute Übersicht.
Grates effectively in both directions.	Effektiv durch Reibmöglichkeit in beide Richtungen.
Container collects and stores gratings.	Der Behälter sammelt das Geriebene und dient gleichzeitig zur Aufbewahrung.
Different sides for coarse or fine grating.	Unterschiedliche Seiten für feines oder grobes Reiben.
The baking mat is a perfect helper when you bake, because it protects the worktop and makes it easier to remove dough and pastry from the surface.	Die Backunterlage schützt Arbeits-/Tischplatten und sorgt dafür, dass der Teig nicht festklebt.
Make creative decorations on your cakes with the help of the stencils on the mat – one side for children and one for adults.	Mithilfe der Schablonen auf der Backunterlage lassen sich leicht Dekorationen für Kuchen und Gebäck herstellen – zwei unterschiedliche Seiten.
There’s a conversion table on one side of the mat that converts weights and volumes to different measurement units.	Mit Umrechnungstabelle auf einer Seite; erleichtert das Umrechnen von Gewicht und Volumen in unterschiedliche Maßeinheiten.
Use the stamp on the end of the knife to put heart-shaped indentations in your biscuits and fill them with chocolate or jam.	Mit dem Stempel im Messergriff lassen sich herzförmige Vertiefungen in den Teig drücken, die mit Schokolade oder Gelee gefüllt werden können.
The baking moulds can be placed on top of one another to make a two-layer cake.	Aus zwei aufeinandergesetzten Kuchen entsteht eine Doppelstocktorte.
Integrated damper catches the running drawer and closes it slowly, silently and softly.	Integrierte Stopper dämpfen den Schwung beim Zuschieben und sorgen für langsames, geräuschloses Schließen der Schubladen.
With Teflon®Classic non-stick coating which makes food and pastry release easily.	Antihaftbeschichtet mit Teflon®Classic - so lösen sich Gerichte und Gebäck leicht aus der Form.
Cotton velvet gives depth to the colour and softness to the touch.	Baumwollsamt verstärkt die Farbwirkung und ist hautfreundlich-weich.
The zipper makes the cover easy to remove.	Durch den Reißverschluss lässt sich der Bezug leicht abnehmen.
The buttons make the cover easy to remove.	Knöpfe erleichtern das Abnehmen des Bezugs.
Reversible; different pattern on each side.	Wendbar; unterschiedliches Muster auf jeder Seite.
Reversible; different design on each side.	Beidseitig verwendbar; auf jeder Seite anders gemustert.
The slot heading allows you to hang the curtains directly on a curtain rod.	Durch Tunnelsaum in der Oberkante lassen sich die Gardinen direkt an einer Stange aufhängen.
The eyelet heading allows you to hang the curtains directly on a curtain rod.	Durch Ösen in der Oberkante lassen sich die Gardinen direkt an einer Stange aufhängen.
Heading with slot, hidden tabs and gathering tape; works on curtain rods, wires or KVARTAL curtain hanging system using hanging accessories.	Gardinen mit Kanalsaum, verdeckten Schlaufen und Kräuselband in der Oberkante; passen an Gardinenstangen, Seilsysteme und mit entsprechendem Aufhängezubehör an das KVARTAL System.
Anti-slip backing keeps the chair pad firmly in place.	Rutschfestes Material auf der Unterseite hält die Matte am Platz.
Heavy fabric helps to reduce sound and keeps light out.	Kräftiger Stoff; dämpft Geräusche und schirmt Licht effektiv ab.
The thin curtains are perfect to use in a layered window solution since they diffuse light softly.	Die transparenten Gardinen sind perfekt für Fensterdekoration in mehreren Lagen, da sie das Tageslicht sanft filtern.
Fittings with adjustable angle for more flexible use.	Beschlag einstellbar für flexiblen Einsatz.
For mounting KVARTAL track rail to the ceiling - no visible screws.	Zur Deckenmontage von KVARTAL Gardinenschienen ohne sichtbare Schrauben.
Cushion pad with feather filling provides great support and comfort.	Innenkissen mit Federfüllung; unterstützt ideal und sorgt für besonderen Komfort.
The blind is cordless for increased child safety.	Das Rollo ist schnurlos für erhöhte Kindersicherheit.
Easy to keep clean since you can remove the laundry bag and wash it in the washing machine.	Einfach sauber zu halten, da der abnehmbare Wäschesack in der Maschine gewaschen werden kann.
2 laundry bags fit side by side in a 50 cm wide PAX wardrobe frame with a depth of 58 cm.	2 Wäschesäcke passen nebeneinander in einen 50 cm breiten, 58 cm tiefen PAX Schrankkorpus.
The laundry bag does not absorb moisture or odours from the laundry because it is made of polyester.	Wäschesack aus Polyester; nimmt weder Feuchtigkeit noch Gerüche von der Wäsche an.
The roof vents can be placed in a halfway open position to allow air to circulate and the temperature to cool.	Für Ventilation und zum Abkühlen lassen sich die Dachluken halb geöffnet arretieren.
Zipper in the bottom makes the box easy to fold up when not in use.	Lässt sich dank Reißverschluss auf der Unterseite nach Gebrauch schnell zusammenfalten.
Protects your clothes and bedlinen from dust.	Schützt Kleidung, Decken, Bettwäsche usw. vor Staub.
The long, fine fibres of combed cotton create a soft and durable towel.	Kammgarnbaumwolle mit feinen, längeren Fasern ergibt besonders weiche, haltbare Gewebe.
A terry towel in medium thickness that is soft and highly absorbent (weight 500 g/m²).	Mitteldickes, weiches Frotteehandtuch, sehr saugfähig (500 g/m²).
You can use the closed storage for binders etc. to keep them out of view but close at hand.	Hinter den Türen lassen sich z.B. Ordner aufbewahren - außer Sicht, aber schnell zur Hand.
The top shelf is a smart place for your printer. Built-in cable management will take care of cables and cords.	Der obere Boden ist ein guter Platz für einen Drucker; praktische Kabelführung.
The lower drawer has a file frame that can be adjusted to fit A4, letter or legal size papers.	Auf A4-Format und amerikanische Formate anpassbarer Mappenrahmen in der unteren Schublade.
Furniture with seat surfaces in soft, hard-wearing and easy-care grain leather which ages gracefully.	Möbelstück mit Sitzfläche aus weichem, robustem und pflegeleichtem Narbenleder, das in Würde altert.
Shallow shelves help you to use the walls in your home efficiently. They hold a lot of things without taking up much space in the room.	Regale mit geringer Tiefe machen mehr aus einem Raum; Wände lassen sich effektiv nutzen und man kann eine Menge unterbringen, ohne viel Platz zu benötigen.
The shelves are perfect for storing your DVDs, books and other small items.	Perfekt für DVDs, Taschenbücher und andere kleinere Gegenstände.
Evolves with your child. The shelf can be used for today's toys and tomorrow's trophies.	Das Regal wächst mit - heute beherbergt es Spielsachen und morgen vielleicht Trophäen, Sportauszeichnungen usw.
A perfect place to keep pens, pencils and small accessories.	Ideal für Stifte, Bleistifte und Kleinkram.
A delicious, fresh-tasting crumble tart with rhubarb.	Köstlicher Streuselteig mit Rhabarber.
